Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Mantenimiento,Cochera,Azotea
890.0,2,75,2,Miraflores,Amoblado: Amoblado,1,1,no
600.0,1,48,1,Barranco,Amoblado: Amoblado,220,,no
1600.0,3,211,3,Santiago de Surco,,740,2,no
277.97,3,68,2,Ate,,65,,no
611.53,3,110,2,Santiago de Surco,Amoblado: Sin amoblar,300,1,no
1800.0,3,215,4,San Isidro,Amoblado: Amoblado,996,1,no
1900.0,4,263,5,Santiago de Surco,Amoblado: Sin amoblar,900,3,no
1000.0,2,140,2,San Isidro,,450,,no
650.0,1,45,1,Barranco,Amoblado: Amoblado,200,1,no
1100.0,2,128,3,Miraflores,Amoblado: Sin amoblar,500,2,no
525.0,1,45,1,Barranco,Amoblado: Amoblado,190,,no
1100.0,3,190,4,San Borja,Amoblado: Sin amoblar,316,,no
514.24,3,95,2,Santiago de Surco,Amoblado: Sin amoblar,150,1,no
1200.0,2,170,2,San Isidro,Amoblado: Sin amoblar,550,2,no
472.55,2,100,2,Miraflores,Amoblado: Amoblado,30,,no
650.0,1,53,1,San Isidro,Amoblado: Amoblado,320,1,no
2500.0,3,200,3,Barranco,Amoblado: Amoblado,810,2,no
750.0,3,125,2,San Borja,Amoblado: Sin amoblar,150,1,no
2340.0,3,263,3.5,San Isidro,,950,2,no
1700.0,2,130,2,Santiago de Surco,,,2,no
1800.0,3,170,2.5,Miraflores,Amoblado: Amoblado,,2,no
717.16,2,120,2,Santiago de Surco,,270,,no
535.0,1,40,1,Barranco,Amoblado: Amoblado,,,no
1200.0,3,120,4,Miraflores,Amoblado: Amoblado,400,1,no
1100.0,3,134,3,San Isidro,,500,2,no
850.0,3,110,2.5,Lince,Amoblado: Sin amoblar,240,1,no
800.0,3,110,2,Miraflores,Amoblado: Sin amoblar,350,1,no
500.35,2,70,2,Surquillo,,70,,no
900.0,3,130,3,Santiago de Surco,Amoblado: Semi-amoblado,,1,no
528.14,2,120,2,Lince,Amoblado: Sin amoblar,230,1,no
800.0,3,90,2,Miraflores,Amoblado: Amoblado,500,,no
277.97,1,35,1,Pueblo Libre,Amoblado: Sin amoblar,200,,no
3500.0,3,330,5,San Isidro,Amoblado: Sin amoblar,1,3,no
750.52,2,110,3,Magdalena del Mar,Amoblado: Sin amoblar,200,1,no
800.0,2,60,2,Miraflores,Amoblado: Amoblado,,1,no
500.35,2,60,1,Miraflores,Amoblado: Sin amoblar,250,1,no
700.0,1,60,1,Barranco,,290,,no
694.93,2,75,3,Miraflores,Amoblado: Sin amoblar,445,1,si
600.0,1,65,1,Barranco,Amoblado: Amoblado,300,1,si
2300.0,4,340,5,Miraflores,Amoblado: Sin amoblar,1,3,no
1400.0,3,180,3,San Isidro,Amoblado: Sin amoblar,600,1,no
2700.0,3,365,4,San Isidro,Amoblado: Sin amoblar,1,4,no
750.0,2,102,2.5,Miraflores,Amoblado: Sin amoblar,330,1,no
900.0,2,108,2,Miraflores,Amoblado: Sin amoblar,600,1,no
694.93,3,85,2,Barranco,Amoblado: Amoblado,,1,no
1000.0,3,118,3,Santiago de Surco,Amoblado: Amoblado,230,1,no
750.0,2,100,2,Miraflores,Amoblado: Amoblado,480,1,no
1000.0,3,130,2,San Borja,Amoblado: Amoblado,350,1,no
583.74,2,55,2.5,Barranco,Amoblado: Semi-amoblado,,,no
778.32,2,88,3,Miraflores,Amoblado: Amoblado,350,1,no
600.0,1,48,1,Barranco,Amoblado: Amoblado,230,,no
833.91,3,400,3,Miraflores,Amoblado: Amoblado,400,1,no
1050.0,3,220,2,Santiago de Surco,Amoblado: Sin amoblar,350,1,no
750.0,3,105,3,Miraflores,Amoblado: Sin amoblar,250,1,no
980.0,3,105,3,Miraflores,Amoblado: Amoblado,375,1,no
950.0,2,112,3,San Isidro,Amoblado: Sin amoblar,400,2,no
458.65,2,60,1,Santiago de Surco,,,,no
850.0,2,90,2,Jesus Maria,Amoblado: Amoblado,300,,no
610.0,1,46,1,Miraflores,Amoblado: Amoblado,250,,no
1600.0,3,184,4,Santiago de Surco,Amoblado: Sin amoblar,750,2,no
750.0,2,65,1,San Isidro,Amoblado: Amoblado,320,1,no
2200.0,2,281,3,San Isidro,,1,2,no
472.55,2,110,1,Santiago de Surco,Amoblado: Sin amoblar,100,,no
450.0,1,34,1,Miraflores,Amoblado: Sin amoblar,180,1,no
1000.0,2,92,3,Miraflores,Amoblado: Amoblado,393,1,no
514.24,3,140,2,La Victoria,,,,no
800.0,1,51,2,San Isidro,Amoblado: Amoblado,300,1,no
750.0,3,110,2,San Borja,,200,,no
2300.0,3,226,,Santiago de Surco,,,,no
700.0,3,90,2,Surquillo,Amoblado: Sin amoblar,110,,no
1900.0,3,232,5,San Isidro,,700,3,no
500.35,3,70,1,Barranco,,,,no
800.0,3,132,3,Santiago de Surco,Amoblado: Sin amoblar,700,1,no
1250.0,3,120,3,Miraflores,Amoblado: Amoblado,520,1,no
470.0,1,50,1,San Miguel,Amoblado: Sin amoblar,,,no
514.24,1,56,,San Isidro,Amoblado: Amoblado,,,no
900.0,2,85,2,Surquillo,Amoblado: Amoblado,255,,no
1100.0,3,140,2.5,Miraflores,Amoblado: Sin amoblar,300,1,no
833.91,2,83,2,Miraflores,Amoblado: Amoblado,300,1,no
670.0,2,63,2,Miraflores,Amoblado: Amoblado,390,,no
277.97,2,55,1,San Borja,Amoblado: Sin amoblar,50,,no
650.0,3,82,3,Miraflores,Amoblado: Sin amoblar,350,1,no
1150.0,3,143,3,Santiago de Surco,Amoblado: Sin amoblar,600,2,no
472.55,2,76,,Lince,Amoblado: Semi-amoblado,80,,no
472.55,1,48,1,Miraflores,Amoblado: Sin amoblar,,1,no
2650.0,4,350,5,San Isidro,Amoblado: Sin amoblar,1,3,no
333.56,1,55,1,Santiago de Surco,Amoblado: Semi-amoblado,60,,si
389.16,3,62,2,Cercado de Lima,,,,no
800.0,3,109,2,Miraflores,Amoblado: Sin amoblar,475,2,no
555.94,3,110,2,San Miguel,Amoblado: Sin amoblar,40,,no
850.0,3,130,2.5,Santiago de Surco,Amoblado: Sin amoblar,,2,no
1100.0,3,160,3,Santiago de Surco,Amoblado: Sin amoblar,650,2,no
900.0,3,112,3,Santiago de Surco,Amoblado: Amoblado,200,2,no
667.13,3,92,2,San Borja,,,,no
1100.0,4,120,3,Miraflores,Amoblado: Amoblado,350,,no
590.0,1,58,1,Miraflores,Amoblado: Amoblado,140,,no
600.0,1,60,1,San Isidro,Amoblado: Amoblado,200,,no
1600.0,3,210,3.5,Miraflores,Amoblado: Amoblado,700,1,no
2500.0,2,127,2,Miraflores,,,,no
945.1,3,110,2,San Borja,Amoblado: Sin amoblar,270,2,no
650.0,3,110,2,Santiago de Surco,Amoblado: Sin amoblar,350,1,no
1000.0,2,100,2,Miraflores,Amoblado: Amoblado,300,1,no
1800.0,3,210,3.5,Miraflores,Amoblado: Amoblado,700,1,no
305.77,1,25,1,Pueblo Libre,,,,no
525.0,1,37,1,Barranco,,,,no
680.0,2,65,1,Miraflores,Amoblado: Amoblado,200,,no
600.0,2,76,1,La Molina,,205,1,no
1250.0,3,148,3,Miraflores,Amoblado: Amoblado,660,1,no
638.0,2,80,2,Miraflores,Amoblado: Amoblado,247,1,no
1100.0,3,160,3,Santiago de Surco,Amoblado: Sin amoblar,735,2,no
600.0,1,60,1,Miraflores,Amoblado: Amoblado,,,no
1000.0,2,150,2,San Isidro,Amoblado: Sin amoblar,,1,no
2500.0,3,275,3,Miraflores,,,,no
850.0,2,123,3,Santiago de Surco,,,,no
690.0,2,76,2,Miraflores,,,,no
780.0,2,100,2,Miraflores,,,,no
2000.0,3,232,4,San Isidro,,,,no
1300.0,2,161,3,San Isidro,,,,no
700.0,1,60,1,San Isidro,,,,no
528.14,3,80,2,Surquillo,Amoblado: Sin amoblar,200,1,si
500.0,1,74,1,Miraflores,Amoblado: Sin amoblar,250,,no
550.0,1,40,1,Barranco,,,,no
528.14,2,71,2,Pueblo Libre,,,,no
1500.0,2,145,3,Miraflores,,,,no
500.35,3,78,2,Santiago de Surco,,,,no
1800.0,3,225,5,Santiago de Surco,,,,no
694.93,2,85,1,Miraflores,Amoblado: Amoblado,,1,no
1200.0,3,250,2,San Isidro,,,,no
500.35,3,85,2,San Miguel,,150,,no
528.14,1,64,1,Miraflores,,350,1,no
550.0,3,90,2,La Molina,,300,,no
750.0,2,90,2,Miraflores,Amoblado: Amoblado,,1,no
1050.0,3,120,2,Miraflores,,,,no
900.0,3,120,,San Isidro,,,,no
500.35,1,50,1,San Isidro,,,,no
1323.14,3,180,3,Miraflores,Amoblado: Amoblado,,,no
1800.0,3,220,3,Santiago de Surco,,,2,no
850.0,2,112,3,Miraflores,Amoblado: Amoblado,285,,no
650.0,1,65,1,Miraflores,Amoblado: Amoblado,,,no
900.0,3,92,3,Barranco,,,,no
700.0,2,150,3,Miraflores,,300,,no
444.75,2,75,1,San Miguel,,100,,no
700.0,1,75,2,Miraflores,Amoblado: Semi-amoblado,250,1,no
639.33,3,100,2,Jesus Maria,Amoblado: Sin amoblar,120,1,no
900.0,2,150,3,Miraflores,Amoblado: Amoblado,350,1,no
778.32,3,105,3,Miraflores,Amoblado: Amoblado,280,1,no
750.0,2,81,2,Miraflores,Amoblado: Sin amoblar,350,1,no
660.0,3,100,2,Miraflores,Amoblado: Amoblado,260,,no
