,Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Cochera,Azotea,zona,con_cochera
90,890.0,2.0,75.0,2.0,Miraflores,2.0,1.0,0,7,1
91,600.0,1.0,48.0,1.0,Barranco,2.0,0.0,0,8,0
92,1600.0,3.0,211.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
93,277.97,3.0,68.0,2.0,Ate,0.0,0.0,0,5,0
94,611.53,3.0,110.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
95,1800.0,3.0,215.0,4.0,San Isidro,2.0,1.0,0,7,1
96,1900.0,4.0,263.0,5.0,Santiago de Surco,0.0,3.0,0,7,1
97,1000.0,2.0,140.0,2.0,San Isidro,0.0,0.0,0,7,0
98,650.0,1.0,45.0,1.0,Barranco,2.0,1.0,0,8,1
99,1100.0,2.0,128.0,3.0,Miraflores,0.0,2.0,0,7,1
100,525.0,1.0,45.0,1.0,Barranco,2.0,0.0,0,8,0
101,1100.0,3.0,190.0,4.0,San Borja,0.0,0.0,0,7,0
102,514.24,3.0,95.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
103,1200.0,2.0,170.0,2.0,San Isidro,0.0,2.0,0,7,1
104,472.55,2.0,100.0,2.0,Miraflores,2.0,0.0,0,7,0
105,650.0,1.0,53.0,1.0,San Isidro,2.0,1.0,0,7,1
107,750.0,3.0,125.0,2.0,San Borja,0.0,1.0,0,7,1
109,1700.0,2.0,130.0,2.0,Santiago de Surco,0.0,2.0,0,7,1
110,1800.0,3.0,170.0,2.5,Miraflores,2.0,2.0,0,7,1
111,717.16,2.0,120.0,2.0,Santiago de Surco,0.0,0.0,0,7,0
112,535.0,1.0,40.0,1.0,Barranco,2.0,0.0,0,8,0
113,1200.0,3.0,120.0,4.0,Miraflores,2.0,1.0,0,7,1
114,1100.0,3.0,134.0,3.0,San Isidro,0.0,2.0,0,7,1
115,850.0,3.0,110.0,2.5,Lince,0.0,1.0,0,6,1
116,800.0,3.0,110.0,2.0,Miraflores,0.0,1.0,0,7,1
117,500.35,2.0,70.0,2.0,Surquillo,0.0,0.0,0,8,0
118,900.0,3.0,130.0,3.0,Santiago de Surco,1.0,1.0,0,7,1
119,528.14,2.0,120.0,2.0,Lince,0.0,1.0,0,6,1
120,800.0,3.0,90.0,2.0,Miraflores,2.0,0.0,0,7,0
121,277.97,1.0,35.0,1.0,Pueblo Libre,0.0,0.0,0,6,0
123,750.52,2.0,110.0,3.0,Magdalena del Mar,0.0,1.0,0,6,1
124,800.0,2.0,60.0,2.0,Miraflores,2.0,1.0,0,7,1
125,500.35,2.0,60.0,1.0,Miraflores,0.0,1.0,0,7,1
126,700.0,1.0,60.0,1.0,Barranco,0.0,0.0,0,8,0
127,694.93,2.0,75.0,3.0,Miraflores,0.0,1.0,1,7,1
128,600.0,1.0,65.0,1.0,Barranco,2.0,1.0,1,8,1
130,1400.0,3.0,180.0,3.0,San Isidro,0.0,1.0,0,7,1
132,750.0,2.0,102.0,2.5,Miraflores,0.0,1.0,0,7,1
133,900.0,2.0,108.0,2.0,Miraflores,0.0,1.0,0,7,1
134,694.93,3.0,85.0,2.0,Barranco,2.0,1.0,0,8,1
135,1000.0,3.0,118.0,3.0,Santiago de Surco,2.0,1.0,0,7,1
136,750.0,2.0,100.0,2.0,Miraflores,2.0,1.0,0,7,1
137,1000.0,3.0,130.0,2.0,San Borja,2.0,1.0,0,7,1
138,583.74,2.0,55.0,2.5,Barranco,1.0,0.0,0,8,0
139,778.32,2.0,88.0,3.0,Miraflores,2.0,1.0,0,7,1
140,600.0,1.0,48.0,1.0,Barranco,2.0,0.0,0,8,0
141,833.91,3.0,400.0,3.0,Miraflores,2.0,1.0,0,7,1
142,1050.0,3.0,220.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
143,750.0,3.0,105.0,3.0,Miraflores,0.0,1.0,0,7,1
144,980.0,3.0,105.0,3.0,Miraflores,2.0,1.0,0,7,1
145,950.0,2.0,112.0,3.0,San Isidro,0.0,2.0,0,7,1
146,458.65,2.0,60.0,1.0,Santiago de Surco,0.0,0.0,0,7,0
147,850.0,2.0,90.0,2.0,Jesus Maria,2.0,0.0,0,6,0
148,610.0,1.0,46.0,1.0,Miraflores,2.0,0.0,0,7,0
149,1600.0,3.0,184.0,4.0,Santiago de Surco,0.0,2.0,0,7,1
150,750.0,2.0,65.0,1.0,San Isidro,2.0,1.0,0,7,1
151,2200.0,2.0,281.0,3.0,San Isidro,0.0,2.0,0,7,1
152,472.55,2.0,110.0,1.0,Santiago de Surco,0.0,0.0,0,7,0
153,450.0,1.0,34.0,1.0,Miraflores,0.0,1.0,0,7,1
154,1000.0,2.0,92.0,3.0,Miraflores,2.0,1.0,0,7,1
155,514.24,3.0,140.0,2.0,La Victoria,0.0,0.0,0,4,0
156,800.0,1.0,51.0,2.0,San Isidro,2.0,1.0,0,7,1
157,750.0,3.0,110.0,2.0,San Borja,0.0,0.0,0,7,0
158,700.0,3.0,90.0,2.0,Surquillo,0.0,0.0,0,8,0
159,1900.0,3.0,232.0,5.0,San Isidro,0.0,3.0,0,7,1
160,500.35,3.0,70.0,1.0,Barranco,0.0,0.0,0,8,0
161,800.0,3.0,132.0,3.0,Santiago de Surco,0.0,1.0,0,7,1
162,1250.0,3.0,120.0,3.0,Miraflores,2.0,1.0,0,7,1
163,470.0,1.0,50.0,1.0,San Miguel,0.0,0.0,0,6,0
164,900.0,2.0,85.0,2.0,Surquillo,2.0,0.0,0,8,0
165,1100.0,3.0,140.0,2.5,Miraflores,0.0,1.0,0,7,1
166,833.91,2.0,83.0,2.0,Miraflores,2.0,1.0,0,7,1
167,670.0,2.0,63.0,2.0,Miraflores,2.0,0.0,0,7,0
168,277.97,2.0,55.0,1.0,San Borja,0.0,0.0,0,7,0
169,650.0,3.0,82.0,3.0,Miraflores,0.0,1.0,0,7,1
170,1150.0,3.0,143.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
171,472.55,1.0,48.0,1.0,Miraflores,0.0,1.0,0,7,1
173,333.56,1.0,55.0,1.0,Santiago de Surco,1.0,0.0,1,7,0
174,389.16,3.0,62.0,2.0,Cercado de Lima,0.0,0.0,0,4,0
175,800.0,3.0,109.0,2.0,Miraflores,0.0,2.0,0,7,1
176,555.94,3.0,110.0,2.0,San Miguel,0.0,0.0,0,6,0
177,850.0,3.0,130.0,2.5,Santiago de Surco,0.0,2.0,0,7,1
178,1100.0,3.0,160.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
179,900.0,3.0,112.0,3.0,Santiago de Surco,2.0,2.0,0,7,1
180,667.13,3.0,92.0,2.0,San Borja,0.0,0.0,0,7,0
181,1100.0,4.0,120.0,3.0,Miraflores,2.0,0.0,0,7,0
182,590.0,1.0,58.0,1.0,Miraflores,2.0,0.0,0,7,0
183,600.0,1.0,60.0,1.0,San Isidro,2.0,0.0,0,7,0
184,1600.0,3.0,210.0,3.5,Miraflores,2.0,1.0,0,7,1
186,945.1,3.0,110.0,2.0,San Borja,0.0,2.0,0,7,1
187,650.0,3.0,110.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
188,1000.0,2.0,100.0,2.0,Miraflores,2.0,1.0,0,7,1
189,1800.0,3.0,210.0,3.5,Miraflores,2.0,1.0,0,7,1
190,305.77,1.0,25.0,1.0,Pueblo Libre,0.0,0.0,0,6,0
191,525.0,1.0,37.0,1.0,Barranco,0.0,0.0,0,8,0
192,680.0,2.0,65.0,1.0,Miraflores,2.0,0.0,0,7,0
193,600.0,2.0,76.0,1.0,La Molina,0.0,1.0,0,7,1
194,1250.0,3.0,148.0,3.0,Miraflores,2.0,1.0,0,7,1
195,638.0,2.0,80.0,2.0,Miraflores,2.0,1.0,0,7,1
196,1100.0,3.0,160.0,3.0,Santiago de Surco,0.0,2.0,0,7,1
197,600.0,1.0,60.0,1.0,Miraflores,2.0,0.0,0,7,0
198,1000.0,2.0,150.0,2.0,San Isidro,0.0,1.0,0,7,1
200,850.0,2.0,123.0,3.0,Santiago de Surco,0.0,0.0,0,7,0
201,690.0,2.0,76.0,2.0,Miraflores,0.0,0.0,0,7,0
202,780.0,2.0,100.0,2.0,Miraflores,0.0,0.0,0,7,0
203,2000.0,3.0,232.0,4.0,San Isidro,0.0,0.0,0,7,0
204,1300.0,2.0,161.0,3.0,San Isidro,0.0,0.0,0,7,0
205,700.0,1.0,60.0,1.0,San Isidro,0.0,0.0,0,7,0
206,528.14,3.0,80.0,2.0,Surquillo,0.0,1.0,1,8,1
207,500.0,1.0,74.0,1.0,Miraflores,0.0,0.0,0,7,0
208,550.0,1.0,40.0,1.0,Barranco,0.0,0.0,0,8,0
209,528.14,2.0,71.0,2.0,Pueblo Libre,0.0,0.0,0,6,0
210,1500.0,2.0,145.0,3.0,Miraflores,0.0,0.0,0,7,0
211,500.35,3.0,78.0,2.0,Santiago de Surco,0.0,0.0,0,7,0
212,1800.0,3.0,225.0,5.0,Santiago de Surco,0.0,0.0,0,7,0
213,694.93,2.0,85.0,1.0,Miraflores,2.0,1.0,0,7,1
